Def|State|Word||
deprecate|v|အျပစ္ဆိုသည္။ ကန္႔ကြက္သည္။||
deprecating|adj|ယဲ့ယဲ့။||
deprecatory|adj|ျပစ္တင္ ကန္႔ကြက္ေသာ။||
depreciate|v|တန္ဖိုးေလ်ာ့က်သည္။ ႏွိမ္ေျပာသည္။ ႏွိမ့္ခ်ေျပာဆိုသည္။||
depredation|n|ထိခိုက္ ပ်က္စီးမႈ။ ျပဳန္းတီးမႈ။||
depress|v|ညႇဳိးငယ္ထိုင္းမႈိင္းေစသည္။ လုပ္ငန္း၊ အေရာင္းအဝယ္ ထိုင္းသည္၊ က်ဆင္းသည္။  ဖိခ်သည္။ ဆြဲခ်သည္။||
depressed|adj|ဝမ္းနည္းညႇဳိးငယ္ေသာ။ စိတ္မခ်မ္းသာေသာ။ အားငယ္ေသာ။||
depressed area|n|အလုပ္အကိုင္ ပါးရွားေသာ ဆင္းရဲသား ရပ္ကြက္။||
depressing|adj|ဝမ္းနည္းညႇဳိးငယ္ေစေသာ။ စိတ္မခ်မ္းသာ ျဖစ္ေစေသာ။||
depressingly|adv|စိတ္ပ်က္စရာေကာင္းေအာင္။||
depression|n|စိတ္အားငယ္ျခင္း။ စိတ္ဓာတ္ က်ျခင္း။ စီးပြားေရးကပ္။ ေျမျပင္ေပၚရွိခ်ဳိင့္၊ ခ်ဳိင့္ခြက္။ ေလဖိအားနည္း ရာသီဥတု အေျခအေန။ ေလဖိအားနည္းရပ္ဝန္း။||
depressive|adj|စိတ္အားညႇဳိးငယ္ေစေသာ။||
depressive|n|စိတ္အားငယ္တတ္သူ။ စိတ္ဓာတ္က်သူ။||
deprive|v|ခံစားခြင့္ကို မေပးဘဲထားသည္။ ပိတ္ပင္ထားသည္။||
deprivation|n|(ဝေအာင္၊ ေလာက္ေအာင္) မရျခင္း။ အိပ္ေရးမဝျခင္း။  ခ်ဳိ႔ငဲ့ျခင္း။ ဆင္းရဲျခင္း။ ခ်ဳိ႔တဲ့မႈ။ ဆံုး႐ႈံးမႈ။ ဒုကၡ။||
deprived|adj|ခ်ဳိ႔ငဲ့ေသာ။ ဆင္းရဲဲႏြမ္းပါးေသာ။||
Dept|abbr|department: Linguistics Dept (eg of a university).||
depth|n|အနက္။ ေဇာက္။ မ်က္ႏွာဝမွ ေနာက္ေက်ာသို႔အနက္။ အနက္။ တစ္စံုတစ္ရာ၏ အနက္ဆံုး၊ အစြန္ဆံုး၊ အေလးနက္ဆံုး အတြင္းက်က် အစိတ္အပိုင္း။ အေရာင္စသည္၏အား။ ခံစားမႈအထုအထည္။ နက္႐ႈိင္းမႈ။ နက္နက္နဲနဲ၊ ႏႈိက္ႏႈိက္ခြၽတ္ခြၽတ္ သိနားလည္စြမ္း၊ ရွင္းျပႏိုင္စြမ္း။ နက္နဲေစ့စပ္မႈ။||
deputation|n|ကိုယ္စားလွယ္အဖြဲ႔။||
depute|v|ကိုယ္စားလွယ္လႊဲသည္။ အလုပ္တာဝန္လႊဲအပ္သည္။||
deputize|v|ကိုယ္စားျပဳလုပ္သည္၊ ေျပာဆိုသည္။||
deputy|n|လက္ေထာက္။||
derail|v|ရထားကိုလမ္းေခ်ာ္ေစသည္။||
deranged|adj|စိတ္ေဖာက္ျပန္ေသာ။ ႐ူးေသာ။||
derby|n|အေရးႀကီးေသာ အားကစား ၿပိဳင္ပြဲ။ ႏွစ္စဥ္က်င္းပျမဲ ျမင္းပြဲ။ (ျမက္ခင္းတြင္) ဒိုးလုံးလွိမ့္ ကစားသူ။||
deregulate|v|ကန္႔သတ္ ထိန္းခ်ဳပ္ထားျခင္းမွ ကင္းလြတ္ေစသည္။||
derelict|adj|စြန္႔ပစ္ထား၍ ပ်က္စီးေနေသာ။||
derelict|n|အိမ္ေျခရာေျခမဲ့သူ။ ေျခသလံုးအိမ္တိုင္။ အေျခအေနမဲ့။||
dereliction|n|စြန္႔ပစ္ထား၍ ပ်က္စီးေနျခင္း။ တာဝန္ဝတၱရားကို တမင္ပ်က္ကြက္ျခင္း။||
deride|v|ျပက္ရယ္ျပဳသည္။ ေလွာင္သည္။||
de rigueur|adj|လူမႈေရးဓေလ့အရ လိုအပ္ေသာ။||
derision|n|ျပက္ရယ္ျပဳမႈ။ ရယ္ေမာ ေလွာင္ေျပာင္မႈ။||
derisive|adj|သေရာ္ေသာ။ ေလွာင္ေျပာင္ေသာ။||
derisory|adj|မျဖစ္စေလာက္ေသာ။||
derivation|n|ေဝါဟာရတို႔၏ ဆင္းသက္လာပံု။ ရင္းျမစ္။||
derivative|adj|မူရင္းမဟုတ္ေသာ။ သူတစ္ပါးထံမွ ကူးယူေသာ။ ခိုးခ်ေသာ။||
derivative|n|ဆင့္ပြား။ ဆင့္ပြားေဝါဟာရ။ ႐ုပ္ေျပာင္းပုဒ္။||
derive|v|ရရွိသည္။ ဆင္းသက္သည္။ ရင္းျမစ္ကို ရွာသည္။||
derm|coidmb for|အေရျပားႏွင့္ဆိုင္ေသာ။||
dermatitis|n|အေရျပားနီ၍ ေရာင္အန္းနာက်င္ျခင္း။||
dermatology|n|အေရျပားေရာဂါေဗဒ။||
dermatologist|n|အေရျပားေရာဂါ အထူးကု။||
derogatory|adj|နိမ့္က်ေသာ။ ရွက္ဖြယ္ေကာင္းေသာ။ ယုတ္ညံ့ေသာ။ ႐ိုင္းစိုင္းေသာ။||
derrick|n|ဝန္ခ်ီစက္။ ဝန္ခ်ီေမာင္း။ ေရနံ တြင္းတူးစက္ ထိန္းေသာစင္။ ေရနံစင္။ ေရနံတိုင္။||
derring-do|n|ရဲရင့္ေသာ၊ သတၱိ ရွိေသာ လုပ္ရပ္။||
derv|n|ဒီဇယ္ဆီ။||
dervish|n|မြတ္စလင္အုပ္စုမ်ားအနက္မွ ဘာသာေရး အက ၾကမ္းေသာ အုပ္စုဝင္တစ္ဦး။||
DES|abbr|(ၿဗိတိန္တြင္ ေရွး) Department of Education and Science. (အေမရိကန္ ျပည္ေထာင္စုတြင္) Department of Employment Security.||
desalination|n|ပင္လယ္ေရကို ေရခ်ဳိျဖစ္ေအာင္ ျပဳလုပ္ေသာနည္းစဥ္။||
descale|v|ေၾကးခြၽတ္သည္။||
descant|n|မူလသံထက္ျမင့္၍ မူလသံႏွင့္ တြဲတီးေသာဆိုေသာ တီးလံုး၊ ေတးသြား။||
descend|v|ဆင္းသည္။ ဆင္းသက္သည္။ (ေတာင္စသည္) နိမ့္ဆင္းသြားသည္။ (ည၊ အေမွာင္) က်ေရာက္သည္။ မ်ဳိး႐ိုးမွလာသည္၊ ဆင္းသက္သည္။||
descendant|n|ဆင္းသက္လာသူ။ သားေျမးစဥ္ဆက္။||
descend on/upon sb/sth|phrv|ဧည့္သည္မ်ား မထင္ မွတ္ဘဲ ျဗဳန္းစားႀကီး ေရာက္လာသည္။||
descend to sth|phrv|အဆင့္အတန္း ႏွင့္မတန္ေအာင္ ေအာက္တန္းက်စြာ ျပဳမူေျပာဆိုသည္။||
descent|n|အဆင္း။ အက်။ သက္ဆင္းက်ေရာက္ျခင္း။ ဆင္ေျခေလွ်ာ။ သားစဥ္ေျမးဆက္။ မ်ဳိး႐ိုး။ မ်ဳိးႏြယ္။||
describe|v|ေဖာ္ျပသည္။ ဖြဲ႔ဆိုသည္။ သ႐ုပ္ေဖာ္သည္။ ျပန္လည္ေျပာျပသည္။ ထုတ္ေဖာ္ေျပာဆိုသည္။ ေရးဆြဲသည္။ ပံုေဖာ္သည္။||
description|n|သ႐ုပ္ေဖာ္ခ်က္။ ေဖာ္ျပခ်က္။  စာပန္းခ်ီ။ သ႐ုပ္ေဖာ္ ေရးသားခ်က္။ (of + some| all| every စသည္ ေနာက္၌သံုးသည္။) အမ်ဳိး အစား။ တစ္မ်ဳိးမ်ဳိး။ အမ်ဳိးမ်ဳိး။||
descriptive|adj|သ႐ုပ္ေဖာ္။ (ဘာသာစကား) လက္ေတြ႔ အသံုးျပဳပံုကို ေဖာ္ျပေသာ။||
desecrate|v|အထြတ္အျမတ္ထားေသာ အရာဝတၳဳ၊ ေနရာတို႔ကို မေလးမစား၊ မေတာ္မေလ်ာ္ျပဳသည္။||
desecration|n|အထြတ္အျမတ္ထားေသာ အရာဝတၳဳ၊ ေနရာတို႔ကို မေလးမစား၊ မေတာ္မေလ်ာ္ျပဳျခင္း။||
desegregate|v|အသားအေရာင္ ခြဲျခားမႈဝါဒကို ဖ်က္သိမ္းသည္။||
deselect|v|(ေဒသဆိုင္ရာ ႏိုင္ငံေရး ပါတီ႐ံုးခြဲက) လက္ရွိပါလီမန္အမတ္ကို လာမည့္ေရြးေကာက္ပြဲတြင္ အမတ္ေလာင္း အျဖစ္မွ ပယ္ဖ်က္သည္။||
deselection|n|(ေဒသဆိုင္ရာ ႏိုင္ငံေရး ပါတီ႐ံုးခြဲက) လက္ရွိပါလီမန္အမတ္ကို လာမည့္ေရြးေကာက္ပြဲတြင္ အမတ္ေလာင္း အျဖစ္မွ ပယ္ဖ်က့္ျခင္း။||
Deutschmark|n|ဂ်ာမန္ မတ္ေငြ။||
devalue|n|ေငြတန္ဖိုး ေလွ်ာ့ခ်သည္။ တန္ဖိုး မထား။ ႏွိမ္သည္။ ႏိွမ့္ခ်သည္။||
devaluation|n|ေငြ တန္ဖိုးခ်ျခင္း၊ က်ျခင္း။||
devastate|v|ေမႊေႏွာက္ဖ်က္ဆီးသည္။ ဖြတ္ဖြတ္ ညက္ညက္ေၾကေစသည္။ ဝမ္းနည္းပက္လက္ ျဖစ္ေစသည္။ ယူက်ဳံးမရျဖစ္ေစသည္။||
devastating|adj|အႀကီးအက်ယ္ ဖ်က္ဆီးေသာ။ ဖြတ္ဖြတ္ညက္ညက္ ေၾကေစေသာ။ ယူက်ဳံးမရျဖစ္ေစေသာ။ စိတ္ထိခိုက္ ေစေသာ။ အထင္ႀကီးေစေသာ။ ထိမိေသာ။ ႀကီးစြာေသာ အပ်က္ အစီး။||
develop|v|ႀကီးထြား လာသည္။ တိုးတက္ေျပာင္းလဲသည္။ ဖြံ႔ၿဖိဳးသည္။ ခ်ဲ႔ထြင္သည္။ ျဖစ္ေပၚသည္။ ေပၚေပါက္ႀကီးထြားသည္။ ဖလင္ေဆးသည္။ ဓာတ္ပံုကူးသည္။ ဖြံ႔ၿဖိဳးေအာင္ တည္ေဆာက္ျပဳျပင္သည္။||
developed|adj|တိုးတက္ဖြံ႔ၿဖဳိးေသာ။ ႀကီးထြား ရင့္က်က္ ေသာ။ (တိုင္း၊ ႏိုင္ငံစသည္) စီးပြားေရး၊ ႏိုင္ငံေရး တိုးတက္ဖြံ႔ၿဖဳိးေသာ။||
developer|n|နယ္ေျမကို ဖြံ႔ၿဖဳိးတိုးတက္ေအာင္ ေဆာင္ရြက္သူ(သို႔)ကုမၸဏီ။ (ဖလင္၊ ဓာတ္ပံု) ပံုေဖာ္ေဆး။||
developing|adj|ဖြံ႔ၿဖဳိးဆဲ (ႏိုင္ငံ၊ နယ္ေျမ)။||
development|n|ႀကီးထြားရင့္သန္မႈ။ ဖြံ႔ၿဖိဳးမႈ။ တည္ေဆာက္ျပဳျပင္မႈ။ အသစ္တိုးတက္ျဖစ္ေပၚမႈ။ တီထြင္မႈ။ တိုးတက္မႈ။ အေဆာက္အအံုသစ္မ်ားျဖင့္ စည္ပင္တိုးတက္ ေနေသာ နယ္ေျမ။||
developmental|adj|ဖြံ႔ၿဖဳိးဆဲျဖစ္ေသာ။  ဖြံ႔ၿဖိဳးမႈႏွင့္ဆိုင္ေသာ။||
development area|n|ဖြံ႔ၿဖိဳးေအာင္ ပ်ဳိးေထာင္ဆဲ ေဒသ။||
deviant|n|(ကိုယ္က်င့္တရား၊ လူမႈေရးတို႔တြင္) စံေသြေသာသူ။||
deviant|adj|(ကိုယ္က်င့္တရား၊ လူမႈေရးတို႔တြင္) စံေသြေသာ။||
deviate|v|လမ္းလြဲသြားသည္။ လမ္းေၾကာင္း ေျပာင္းသည္။ ေသြဖည္သည္။||
deviation|n|ေသြဖည္ျခင္း။ လမ္းလြဲျခင္း။ ေဖာက္ျပန္ျခင္း။ ေဘာင္ေက်ာ္လြန္မႈ။ ေသြဖည္မႈ။ ေဖာက္ျပန္ေရး။ တိမ္းေစာင္းမႈ။||
device|n|ကိရိယာ။ တန္ဆာပလာ။ လက္နက္။ လွည့္ကြက္။ ပရိယာယ္။ အၾကံအဖန္။||
devil|n|မာရ္နတ္။ နတ္ဆိုး။ မေကာင္း ဆိုးဝါး။ လူဆိုးလူ႐ႈပ္။ (တစ္စံုတစ္ေယာက္အေၾကာင္း ေဖာ္ျပရာ၌ ေလးနက္ေစရန္ သံုးေသာစကား)။ အေကာင္။ သတၱဝါ။||
devil-may-care|adj|ေပ်ာ္ေပ်ာ္ေနေသခဲ။||
devil's advocate|n|ဝိုင္းစည္ေအာင္ဝင္၍ ေတာတတ္၊ ဆြေပးတတ္ေသာသူ။||
devil|v|အရည္ပ်စ္ပ်စ္ မဆလာမ်ားမ်ားႏွင့္ ခ်က္သည္။||
devilish|adj|ဆိုးယုတ္ေသာ။ ရက္စက္ေသာ။||
devilish|adv|အလြန္အမင္း။ လြန္လြန္ကဲဲကဲ။ အရမ္း။||
devilment|n|အက်ီစားသန္ျခင္း။ ထိခိုက္ေလာက္ေအာင္ ေနာက္ေျပာင္ျခင္း။||
devious|adj|မ႐ိုးသားေသာ။ မေျဖာင့္မတ္ေသာ။ စဥ္းလဲေသာ။  (လမ္း) ေကြ႔ပတ္ေသာ။ မေျဖာင့္မတန္း သြယ္ဝိိုက္ေသာ။||
devise|v|တီထြင္သည္။ ဖန္တီးသည္။||
devoid|adj|ကင္းမဲ့ေသာ။ လံုးဝမရွိေသာ။||
devolution|n|ဗဟိုမွ အာဏာကို လက္ေအာက္အဖြဲ႔အစည္းမ်ားသို႔ ခြဲေဝေပးျခင္း။||
devolve|phrv|(အလုပ္ တာဝန္ဝတၱရား) လက္ေအာက္အရာရွိသို႔ လႊဲေျပာင္းက်ေရာက္သည္။||
devolve sth to/on/upon sb/sth|phrv|အလုပ္တာဝန္ ဝတၱရားစသည္ကို လက္ေအာက္အဆင့္သို႔ လႊဲအပ္ သည္။||
devote|phrv|မိမိ၏ အခ်ိန္၊ စြမ္းအား စသည္ လံုးလံုးလ်ားလ်ား ေပးအပ္ ျမႇဳပ္ႏွံထားသည္။||
devoted|adj|အစဥ္ခ်စ္ခင္၍ သစၥာရွိေသာ။||
devotee|n|ဝါသနာအိုး။ ကိုးကြယ္ ဆည္းကပ္သူ။ စိတ္အားထက္သန္သူ။||
devotion|n|ႀကီးမားေသာ သံေယာဇဥ္။ အခ်စ္ႀကီးမႈ။ စြဲလမ္းမႈ။  ျမႇဳပ္ႏွံထားမႈ။ အေလးထားမႈ။ ဘာသာတရား ကိုင္း႐ႈိင္းမႈ။ ကိုးကြယ္ဆည္းကပ္မႈ။||
devotions|n|ဘုရားရွိခိုးျခင္း။ တရားဆင္ျခင္ျခင္း။||
devotional|adj|ဘာသာေရးႏွင့္ဆိုင္ေသာ။ ဘုရား ရွိခိုးရာတြင္သံုးေသာ။||
devour|v|အငမ္းမရစားသည္။ ဝါးမ်ဳိသည္။ အငမ္းမရ ဖတ္သည္၊ ၾကည့္ သည္။ [ဥ] ၿဖဳိပစ္လိုက္သည္။ ဖ်က္ဆီး ဝါးမ်ဳိသည္။||
devout|adj|ဘာသာတရားကို အလြန္႐ိုေသ ကိုင္း႐ႈိင္းေသာ။ ႐ိုးသားျဖဴစင္ေသာ။ လႈိက္လွဲေသာ။||
dew|n|ႏွင္းေပါက္။ ႏွင္းစက္။||
dewy|adj|ႏွင္းစြတ္ေသာ။ ႏွင္းစိုရႊဲေသာ။||
dewy-eyed|adj|႐ိုးအလြန္း၊ ယံုလြယ္လြန္းေသာ။ ခံစားခ်က္ျပည့္လွ်မ္းေသာ။||
dexterity|n|လက္၏ကြၽမ္းက်င္မႈႈ။ ကြၽမ္းက်င္လိမၼာမႈ။||
dexterous|adj|လက္သြက္ေသာ။ လက္ယဥ္ေသာ။ ကြၽမ္းက်င္လိမၼာစြာ ေဆာင္ရြက္ ၿပီးေျမာက္ေသာ။||
dextrose|n|ဂလူးကို႔စ္ တစ္မ်ဳိး။||
defend|v|ကာကြယ္သည္။ ေစာင့္ၾကပ္သည္။||
defence|n|ကာကြယ္ျခင္း။ ေခ်ပခ်က္။||
defense|n|ကာကြယ္ျခင္း။ ေခ်ပခ်က္။||
defenceless|adj|အကာအကြယ္ကင္းေသာ။||
debut|n|ပြဲဦးထြက္ ။ ပထမဆံုး ပြဲထြက္ျခင္း ။||
